host_time_iso,elapsed_s,firmware,board_id,sequence,average,temperature_c,bx_mt,by_mt,bz_mt,status_hex,raw_line
2026-07-16T01:09:08.331,21549.686,0.5.2-alpha1a,4,30550,10,28.0600,-0.0700,-0.2100,0.1200,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30550,AVG=10,CAL=DEFAULT,T=28.06,BX=-0.07,BY=-0.21,BZ=0.12,STATUS=0x51"
2026-07-16T01:09:09.738,21551.093,0.5.2-alpha1a,4,30551,10,28.0600,-0.1900,-0.3800,0.1500,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30551,AVG=10,CAL=DEFAULT,T=28.06,BX=-0.19,BY=-0.38,BZ=0.15,STATUS=0x91"
2026-07-16T01:09:11.016,21552.371,0.5.2-alpha1a,4,30552,10,28.0400,-0.1100,-0.2600,0.0400,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30552,AVG=10,CAL=DEFAULT,T=28.04,BX=-0.11,BY=-0.26,BZ=0.04,STATUS=0xD1"
2026-07-16T01:09:12.405,21553.760,0.5.2-alpha1a,4,30553,10,27.7200,-0.0900,-0.3400,0.1500,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30553,AVG=10,CAL=DEFAULT,T=27.72,BX=-0.09,BY=-0.34,BZ=0.15,STATUS=0x11"
2026-07-16T01:09:13.839,21555.194,0.5.2-alpha1a,4,30554,10,28.0600,-0.0300,-0.2800,0.1100,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30554,AVG=10,CAL=DEFAULT,T=28.06,BX=-0.03,BY=-0.28,BZ=0.11,STATUS=0x51"
2026-07-16T01:09:15.235,21556.590,0.5.2-alpha1a,4,30555,10,28.1200,-0.0900,-0.2400,0.0900,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30555,AVG=10,CAL=DEFAULT,T=28.12,BX=-0.09,BY=-0.24,BZ=0.09,STATUS=0x91"
2026-07-16T01:09:16.671,21558.026,0.5.2-alpha1a,4,30556,10,27.9600,-0.1200,-0.3000,0.0400,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30556,AVG=10,CAL=DEFAULT,T=27.96,BX=-0.12,BY=-0.30,BZ=0.04,STATUS=0xD1"
2026-07-16T01:09:17.935,21559.290,0.5.2-alpha1a,4,30557,10,27.8700,-0.1200,-0.3200,0.1700,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30557,AVG=10,CAL=DEFAULT,T=27.87,BX=-0.12,BY=-0.32,BZ=0.17,STATUS=0x11"
2026-07-16T01:09:19.320,21560.675,0.5.2-alpha1a,4,30558,10,27.8200,-0.0700,-0.2800,0.1500,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30558,AVG=10,CAL=DEFAULT,T=27.82,BX=-0.07,BY=-0.28,BZ=0.15,STATUS=0x51"
2026-07-16T01:09:20.722,21562.077,0.5.2-alpha1a,4,30559,10,27.8700,-0.1700,-0.2400,0.0700,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30559,AVG=10,CAL=DEFAULT,T=27.87,BX=-0.17,BY=-0.24,BZ=0.07,STATUS=0x91"
2026-07-16T01:09:22.154,21563.509,0.5.2-alpha1a,4,30560,10,28.0100,-0.1300,-0.3200,0.1100,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30560,AVG=10,CAL=DEFAULT,T=28.01,BX=-0.13,BY=-0.32,BZ=0.11,STATUS=0xD1"
2026-07-16T01:09:23.553,21564.908,0.5.2-alpha1a,4,30561,10,27.6100,-0.1500,-0.2500,0.2000,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30561,AVG=10,CAL=DEFAULT,T=27.61,BX=-0.15,BY=-0.25,BZ=0.20,STATUS=0x11"
2026-07-16T01:09:24.993,21566.348,0.5.2-alpha1a,4,30562,10,28.0100,-0.0800,-0.2400,0.1100,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30562,AVG=10,CAL=DEFAULT,T=28.01,BX=-0.08,BY=-0.24,BZ=0.11,STATUS=0x51"
2026-07-16T01:09:26.248,21567.602,0.5.2-alpha1a,4,30563,10,28.0600,-0.1300,-0.2900,0.0600,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30563,AVG=10,CAL=DEFAULT,T=28.06,BX=-0.13,BY=-0.29,BZ=0.06,STATUS=0x91"
2026-07-16T01:09:27.651,21569.006,0.5.2-alpha1a,4,30564,10,28.0400,-0.0400,-0.3200,0.0600,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30564,AVG=10,CAL=DEFAULT,T=28.04,BX=-0.04,BY=-0.32,BZ=0.06,STATUS=0xD1"
